time;knee_l_on_femur_l_in_tibia_l_fx;knee_l_on_femur_l_in_tibia_l_fy;knee_l_on_femur_l_in_tibia_l_fz;knee_l_on_femur_l_in_tibia_l_mx;knee_l_on_femur_l_in_tibia_l_my;knee_l_on_femur_l_in_tibia_l_mz;knee_l_on_femur_l_in_tibia_l_px;knee_l_on_femur_l_in_tibia_l_py;knee_l_on_femur_l_in_tibia_l_pz
1.407;-563.6502368;1965.434928;-129.8189775;39.18927985;42.67002667;35.30934231;-0.142435781;0.433115036;-6.94E-18
1.408;-565.0904303;1968.779865;-129.4205072;38.9769552;42.63044175;35.34826063;-0.142527383;0.433086459;6.94E-18
1.409;-566.4564312;1971.854301;-129.0146138;38.76621499;42.58792018;35.36455425;-0.142610131;0.433060627;6.94E-18
1.41;-567.7448848;1974.641184;-128.6009552;38.55682268;42.54223551;35.35735231;-0.142684113;0.433037517;-6.94E-18
1.411;-568.0640222;1975.009839;-128.007537;38.30954583;42.43097749;35.40065022;-0.142749416;0.433017107;6.94E-18
1.412;-568.375095;1975.461239;-127.4144134;38.06093169;42.31715249;35.44104493;-0.142806127;0.432999374;-1.39E-17
1.413;-568.6737149;1975.969347;-126.8209147;37.8110049;42.20055276;35.47702438;-0.14285433;0.432984295;0
1.414;-568.8994235;1976.216657;-126.2201807;37.56149646;42.08054386;35.49129337;-0.142894104;0.432971849;6.94E-18
1.415;-569.0500949;1976.191761;-125.6121279;37.3126227;41.95725244;35.48333236;-0.142925533;0.432962011;-1.39E-17
1.416;-569.1605068;1976.075837;-125.0008146;37.06357308;41.8311667;35.46313166;-0.142948697;0.432954759;6.94E-18
1.417;-569.2614127;1976.02143;-124.3893828;36.81359321;41.70238206;35.43848943;-0.142963679;0.432950068;-6.94E-18
1.418;-569.3492607;1976.007364;-123.7774644;36.56304581;41.57098825;35.4081923;-0.142970558;0.432947914;-1.39E-17
1.419;-569.3699332;1975.75856;-123.1597687;36.31409155;41.43731837;35.35803224;-0.142969407;0.432948274;6.94E-18
1.42;-569.3221368;1975.268391;-122.5364412;36.0671693;41.30177392;35.28782471;-0.142960301;0.432951126;6.94E-18
