time;knee_angle_l
1.766;-3.43554049
1.767;-3.42715102
1.768;-3.42005215
1.769;-3.4142563
1.77;-3.40977565
1.771;-3.40662202
1.772;-3.4048066
1.773;-3.40433959
1.774;-3.40523016
1.775;-3.4074872
1.776;-3.4111193
1.777;-3.41613443
1.778;-3.42253953
1.779;-3.43034059
1.78;-3.43954329
1.781;-3.45015303
1.782;-3.46217458
1.783;-3.47561174
1.784;-3.49046731
1.785;-3.50674384
1.786;-3.52444359
1.787;-3.54356823
1.788;-3.5641185
1.789;-3.58609419
1.79;-3.60949492
1.791;-3.63432008
1.792;-3.66056854
1.793;-3.68823834
1.794;-3.71732661
1.795;-3.74783038
1.796;-3.77974655
1.797;-3.81307156
1.798;-3.84780107
1.799;-3.88392994
1.8;-3.92145299
1.801;-3.96036498
1.802;-4.00066026
1.803;-4.04233252
1.804;-4.08537475
1.805;-4.12977999
1.806;-4.1755413
1.807;-4.22265151
1.808;-4.27110287
1.809;-4.32088709
1.81;-4.37199605
1.811;-4.42442177
1.812;-4.47815613
1.813;-4.53319061
1.814;-4.58951626
1.815;-4.64712443
1.816;-4.7060067
1.817;-4.76615469
1.818;-4.8275597
1.819;-4.89021277
1.82;-4.95410532
1.821;-5.01922915
1.822;-5.08557622
1.823;-5.1531383
1.824;-5.22190699
1.825;-5.29187442
1.826;-5.36303321
1.827;-5.43537629
1.828;-5.50889644
1.829;-5.58358635
1.83;-5.65943969
1.831;-5.73645087
1.832;-5.81461436
1.833;-5.89392461
1.834;-5.97437623
1.835;-6.05596456
1.836;-6.1386857
1.837;-6.22253621
1.838;-6.30751279
1.839;-6.39361223
1.84;-6.48083217
1.841;-6.56917111
1.842;-6.65862807
1.843;-6.74920227
1.844;-6.84089302
1.845;-6.93370059
1.846;-7.02762619
1.847;-7.1226717
1.848;-7.21883915
1.849;-7.31613069
1.85;-7.41454954
1.851;-7.51410004
1.852;-7.61478723
1.853;-7.71661633
1.854;-7.81959261
1.855;-7.92372253
1.856;-8.02901376
1.857;-8.13547469
1.858;-8.24311378
1.859;-8.35193951
1.86;-8.46196162
1.861;-8.57319114
1.862;-8.68563984
1.863;-8.79931953
1.864;-8.91424195
1.865;-9.03042024
1.866;-9.14786889
1.867;-9.26660315
1.868;-9.38663828
1.869;-9.50798947
1.87;-9.63067334
1.871;-9.75470792
1.872;-9.88011192
1.873;-10.006904
1.874;-10.13510269
1.875;-10.26472787
1.876;-10.39580079
1.877;-10.52834332
1.878;-10.66237717
1.879;-10.79792383
1.88;-10.93500612
1.881;-11.0736481
1.882;-11.21387439
1.883;-11.35570936
1.884;-11.499177
1.885;-11.64430254
1.886;-11.79111238
1.887;-11.93963337
1.888;-12.08989188
1.889;-12.24191371
1.89;-12.3957257
1.891;-12.55135579
1.892;-12.70883216
1.893;-12.86818228
1.894;-13.02943266
1.895;-13.1926108
1.896;-13.35774518
1.897;-13.52486436
1.898;-13.69399585
1.899;-13.86516586
1.9;-14.03840153
1.901;-14.2137309
1.902;-14.39118196
1.903;-14.57078125
1.904;-14.7525537
1.905;-14.9365251
1.906;-15.12272213
1.907;-15.31117118
1.908;-15.50189689
1.909;-15.6949219
1.91;-15.8902697
1.911;-16.08796464
1.912;-16.28803053
1.913;-16.49048917
1.914;-16.69536007
1.915;-16.90266357
1.916;-17.11242079
1.917;-17.32465215
1.918;-17.53937581
1.919;-17.75660742
1.92;-17.9763634
1.921;-18.19866086
1.922;-18.42351601
1.923;-18.65094268
1.924;-18.88095205
1.925;-19.11355595
1.926;-19.34876678
1.927;-19.58659591
1.928;-19.82705217
1.929;-20.07014163
1.93;-20.31587091
1.931;-20.56424706
1.932;-20.81527593
1.933;-21.06896074
1.934;-21.32530185
1.935;-21.58429994
1.936;-21.84595589
1.937;-22.11026923
1.938;-22.37723681
1.939;-22.64685257
1.94;-22.91911062
1.941;-23.19400513
1.942;-23.47152891
1.943;-23.75167198
1.944;-24.03442141
1.945;-24.31976435
1.946;-24.60768791
1.947;-24.89817775
1.948;-25.19121669
1.949;-25.48678457
1.95;-25.78486117
1.951;-26.08542619
1.952;-26.3884578
1.953;-26.69393134
1.954;-27.00181911
1.955;-27.31209338
1.956;-27.62472635
1.957;-27.93968875
1.958;-28.25694853
1.959;-28.57647067
1.96;-28.89822019
1.961;-29.22216207
1.962;-29.54825988
1.963;-29.87647448
1.964;-30.20676385
1.965;-30.53908605
1.966;-30.87339911
1.967;-31.2096597
1.968;-31.54782189
1.969;-31.88783695
